tier,pack,gun_id,type,ammo,note,bullet_damage,bullet_amount,explosion_damage
1,Apocalypse (bf1),bf1:mhgl,rpg,40mm,"Martini-Henry grenade launcher variant, matches base Martini-Henry's tier (1)",75.5,1,226.0
1,Apocalypse (bf1),bf1:obrez,pistol,762x54,improvised sawn-off Mosin,12.6,1,
1,Apocalypse (bf1),bf1:rsc1917,rifle,30_06,RSC Modele 1917 - WWI,12.8,1,
1,Apocalypse (bf1),bf1:smg0818,smg,9mm,"MP18 - WWI 1918, first SMG",6.5,1,
1,Apocalypse (bf1),bf1:tg1918,sniper,50bmg,Tankgewehr M1918 - WWI anti-tank rifle,53.8,1,
1,Apocalypse (bf1),bf1:vg15,rifle,762x39,Volkssturmgewehr - WWII 1945,10.1,1,
1,Apocalypse (bf1),bf1:vp1915,smg,9mm,Villar Perosa - WWI 1915,6.9,1,
1,Apocalypse (bf1),bf1:welrod,pistol,9mm,WWII 1943,8.3,1,
1,Apocalypse (bf1),bf1:zk383,smg,9mm,ZK-383 - interwar 1933,8.6,1,
1,ChocolateMan (qkl),qkl:1912,pistol,9mm,Steyr M1912 - WWI era,8.7,1,
1,ChocolateMan (qkl),qkl:1912p16,pistol,9mm,Steyr M1912 family,8.9,1,
1,ChocolateMan (qkl),qkl:at50,sniper,50bmg,"Anti-tank rifle chambered in .50 BMG, WWI/interwar anti-tank rifle analog, tier 1",52.1,1,
1,ChocolateMan (qkl),qkl:cbr11,rifle,rb10,"Bolt-action rifle, WWI/early-WWII era analog - base of the CBR-11 family, tier 1",13.7,1,
1,ChocolateMan (qkl),qkl:cbr11c,rifle,rb10,"Bolt-action carbine, WWI/early-WWII era analog - short variant of the CBR-11 family, tier 1",14.7,1,
1,ChocolateMan (qkl),qkl:cbr11r,rifle,rb10,"Bolt-action rifle, WWI/early-WWII era analog - rifle variant of the CBR-11 family, tier 1",13.3,1,
1,ChocolateMan (qkl),qkl:cbr11sp,sniper,rb10,"Bolt-action sniper rifle, WWI/early-WWII era analog - sniper variant of the CBR-11 family, tier 1",42.0,1,
1,ChocolateMan (qkl),qkl:cbr9,rifle,rb10,"Bolt-action rifle, same design family as CBR-11, WWI/early-WWII era analog",14.2,1,
1,ChocolateMan (qkl),qkl:hy88,rifle,308,"Hanyang 88 - Chinese Mauser-derivative bolt-action rifle, adopted 1895, WWI-WWII service rifle",13.5,1,
1,ChocolateMan (qkl),qkl:lmg31,mg,rb10,"Bren-pattern light machine gun, WWII-era analog, tier 1",10.0,1,
1,ChocolateMan (qkl),qkl:m1897,shotgun,12g,Winchester Model 1897,6.7,7,
1,ChocolateMan (qkl),qkl:m1903a3,rifle,30_06,Springfield M1903A3 1942,15.0,1,
1,ChocolateMan (qkl),qkl:mg15,mg,30_06,MG15 - German WWII 1932-38,9.2,1,
1,ChocolateMan (qkl),qkl:mu73,rifle,rb10,"Semi-auto clip-fed rifle in the Garand mold, WWII-era analog, tier 1",11.3,1,
1,ChocolateMan (qkl),qkl:mu73m,rifle,rb10,"Semi-auto clip-fed rifle, Garand-pattern variant of the mu73 line, tier 1",10.3,1,
1,ChocolateMan (qkl),qkl:mua73,rifle,rb10,"Semi-auto clip-fed rifle in the Garand mold, WWII-era analog variant of mu73, tier 1",11.1,1,
1,ChocolateMan (qkl),qkl:waltertl,shotgun,12g,"Pump-action shotgun with WWI-era styling, tier 1",7.7,7,
1,Suffuse,suffuse:mas38,smg,7.65x20mm,MAS-38 - France WWII 1938,6.2,1,
1,Suffuse,suffuse:np762,pistol,762x25,762x25 Tokarev round implies WWII-era Soviet pistol,10.1,1,
1,Suffuse,suffuse:tt33,pistol,762x25,TT-33 - Soviet 1930/WWII,9.1,1,
1,Suffuse,suffuse:webley1913,pistol,45acp,Webley - WWI era ~1913-15,9.3,1,
1,TaCZ Expanded Arsenal,tacz:27,pistol,tacz:357mag,"S&W Model 27 - .357 Magnum revolver, 1935, matches the .357 magnum-revolver bracket",12.4,1,
1,TaCZ Expanded Arsenal,tacz:avs36,rifle,tacz:762x54,"AVS-36 - Soviet select-fire rifle, 1936",12.3,1,
1,TaCZ Expanded Arsenal,tacz:avt40,rifle,tacz:762x54,"AVT-40 - Soviet select-fire rifle, 1940",12.5,1,
1,TaCZ Expanded Arsenal,tacz:bren,mg,tacz:303,"Bren Gun - British .303 LMG, WWII",11.1,1,
1,TaCZ Expanded Arsenal,tacz:c96,pistol,ea:30mauser,"Mauser C96 'Broomhandle' - WWI-era service pistol, 1896",11.0,1,
1,TaCZ Expanded Arsenal,tacz:cns,pistol,tacz:455web,Colt New Service .455 - WWI-era big service revolver,12.0,1,
1,TaCZ Expanded Arsenal,tacz:cph,pistol,ea:32acp,Colt Model 1903 Pocket Hammerless - .32 ACP pocket pistol,8.5,1,
1,TaCZ Expanded Arsenal,tacz:dp28,mg,tacz:762x54,"DP-28 - Soviet WWII LMG, 1928",12.7,1,
1,TaCZ Expanded Arsenal,tacz:fg42,rifle,tacz:792x57,FG-42 - WWII German paratrooper automatic rifle,11.8,1,
1,TaCZ Expanded Arsenal,tacz:gew96,sniper,tacz:65x55,"Swedish Gewehr M/96 - bolt-action service rifle, 1896",43.7,1,
1,TaCZ Expanded Arsenal,tacz:gew98,rifle,tacz:792x57,"Gewehr 98 - German bolt-action service rifle, 1898",14.5,1,
1,TaCZ Expanded Arsenal,tacz:kar98k,sniper,tacz:792x57,"Karabiner 98k, matches the vanilla Kar98k's tier",47.1,1,
1,TaCZ Expanded Arsenal,tacz:lewis,mg,tacz:303,"Lewis Gun, matches the existing Lewis Gun entry's tier",10.3,1,
1,TaCZ Expanded Arsenal,tacz:m1,rifle,tacz:30c,M1 Carbine - WWII .30 Carbine light rifle,9.6,1,
1,TaCZ Expanded Arsenal,tacz:m10,pistol,tacz:38special,S&W Model 10 - .38 Special service revolver,11.6,1,
1,TaCZ Expanded Arsenal,tacz:m1895,pistol,tacz:762r,Nagant M1895 - 7.62 Nagant service revolver,12.8,1,
1,TaCZ Expanded Arsenal,tacz:m1897,shotgun,tacz:12g,"Winchester M1897, matches the existing M1897 entry's tier",6.8,9,
1,TaCZ Expanded Arsenal,tacz:m1903,sniper,tacz:30_06,"Springfield M1903, matches the existing M1903A3 entry's tier",48.7,1,
1,TaCZ Expanded Arsenal,tacz:m1911a1,pistol,tacz:45acp,"Colt M1911A1, matches the vanilla M1911's tier",11.2,1,
1,TaCZ Expanded Arsenal,tacz:m1917,pistol,tacz:45acp,Colt M1917 - WWI .45 ACP service revolver,11.8,1,
1,TaCZ Expanded Arsenal,tacz:m1918,mg,tacz:30_06,M1918A2 BAR (mg-typed) - WWI/WWII automatic rifle,11.5,1,
1,TaCZ Expanded Arsenal,tacz:m1918a2,rifle,tacz:30_06,M1918 BAR (rifle-typed) - WWI/WWII automatic rifle,12.0,1,
1,TaCZ Expanded Arsenal,tacz:m1919,mg,tacz:30_06,Browning M1919A6 - WWI-design .30-06 MG fielded through WWII,8.8,1,
1,TaCZ Expanded Arsenal,tacz:m1921,smg,tacz:45acp,M1921 Thompson - WWII-era SMG,8.9,1,
1,TaCZ Expanded Arsenal,tacz:m1938,rifle,tacz:762x54,Mosin M38 Carbine - Soviet bolt action,15.2,1,
1,TaCZ Expanded Arsenal,tacz:m1944,rifle,tacz:762x54,Mosin M44 Carbine - Soviet bolt action,15.4,1,
1,TaCZ Expanded Arsenal,tacz:m1a1,smg,tacz:45acp,M1A1 Thompson - WWII SMG,9.2,1,
1,TaCZ Expanded Arsenal,tacz:m1g,sniper,tacz:30_06,M1 Garand - matches the semi-auto Garand-clone bracket (cbr/mu73 precedent),35.3,1,
1,TaCZ Expanded Arsenal,tacz:m2,rifle,tacz:30c,M2 Carbine - select-fire WWII-era light rifle,9.9,1,
1,TaCZ Expanded Arsenal,tacz:m37,shotgun,tacz:12g,Ithaca M37 - pump shotgun,7.6,9,
1,TaCZ Expanded Arsenal,tacz:m3a1,smg,tacz:45acp,M3A1 Grease Gun - WWII SMG,9.9,1,
1,TaCZ Expanded Arsenal,tacz:m70,sniper,tacz:30_06,Winchester M70 - .30-06 bolt rifle,40.3,1,
1,TaCZ Expanded Arsenal,tacz:mg08,mg,tacz:792x57,"MG 08/15, matches the existing MG 08/15 entry's tier",10.7,1,
1,TaCZ Expanded Arsenal,tacz:mg42,mg,tacz:792x57,"MG-42, matches the existing MG-42 entry's tier",12.3,1,
1,TaCZ Expanded Arsenal,tacz:mkii,pistol,tacz:455web,S&W Mk II .455 - WWI-era British service revolver,12.2,1,
1,TaCZ Expanded Arsenal,tacz:mosin,sniper,tacz:762x54,"Mosin Nagant M91/30 - standard-caliber bolt action, matches the Kar98k bracket",50.4,1,
1,TaCZ Expanded Arsenal,tacz:mp18,smg,tacz:9mm,"MP18-I, matches the existing MP18 entry's tier",7.2,1,
1,TaCZ Expanded Arsenal,tacz:mp40,smg,tacz:9mm,MP40 - WWII SMG,7.5,1,
1,TaCZ Expanded Arsenal,tacz:nagant1891,rifle,tacz:762x54,Mosin-Nagant M1891 - standard-caliber bolt action rifle,15.7,1,
1,TaCZ Expanded Arsenal,tacz:no4,sniper,tacz:303,Lee-Enfield No.4 Mk1 - standard-caliber bolt action,45.4,1,
1,TaCZ Expanded Arsenal,tacz:p08,pistol,tacz:9mm,Luger P08 - WWI-era service pistol,10.3,1,
1,TaCZ Expanded Arsenal,tacz:p35,pistol,tacz:9mm,FN Browning Hi-Power - WWII-era service pistol,10.6,1,
1,TaCZ Expanded Arsenal,tacz:p38,pistol,tacz:9mm,Walther P38 - WWII service pistol,9.7,1,
1,TaCZ Expanded Arsenal,tacz:p60,rpg,tacz:40mm,"Panzerfaust 60, matches the existing Panzerfaust entry's tier",85.5,1,513.0
1,TaCZ Expanded Arsenal,tacz:ppk,pistol,ea:32acp,Walther PPK - pocket pistol,9.5,1,
1,TaCZ Expanded Arsenal,tacz:pps,smg,tacz:762x25,PPS-43 - WWII SMG,7.9,1,
1,TaCZ Expanded Arsenal,tacz:ppsh41,smg,tacz:762x25,PPSh-41 - WWII SMG,9.6,1,
1,TaCZ Expanded Arsenal,tacz:smle,rifle,tacz:303,SMLE No.1 MkIII - standard-caliber bolt action,14.0,1,
1,TaCZ Expanded Arsenal,tacz:sten,smg,tacz:9mm,Sten MkII - WWII SMG,8.2,1,
1,TaCZ Expanded Arsenal,tacz:stg44,rifle,ea:792x33,"StG 44 - first true assault rifle, WWII",10.8,1,
1,TaCZ Expanded Arsenal,tacz:svt_40,sniper,tacz:762x54,"SVT-40 - Soviet semi-auto rifle, WWII, matches the Garand-clone bracket",33.6,1,
1,TaCZ Expanded Arsenal,tacz:tt33,pistol,tacz:762x25,"Tokarev TT-33, matches the existing TT-33 entry's tier",9.9,1,
1,daffas,daffas_arsenal:welrod,pistol,9mm,WWII 1943,10.8,1,
1,tacz (vanilla),tacz:kar98,sniper,792x57,Kar98k 1935,38.7,1,
1,tacz (vanilla),tacz:m1911,pistol,45acp,Colt M1911 - WWI/WWII service,11.4,1,
2,ChocolateMan (qkl),qkl:csg19,smg,9mm,"Uzi-pattern SMG clone, matches vanilla Uzi's tier (2)",7.9,1,
2,ChocolateMan (qkl),qkl:rmg,mg,rb10,"RPK-pattern light machine gun, Cold War-era analog, tier 2",11.4,1,
2,Suffuse,suffuse:aiyasinrpg,rpg,rpg_rocket,"RPG-7 pattern rocket-propelled grenade launcher, matches vanilla RPG-7's tier (2)",106.3,1,85.0
2,Suffuse,suffuse:aks74u,rifle,545x39,AKS-74U 1979,11.5,1,
2,Suffuse,suffuse:an94,rifle,545x39,AN-94 1994,14.3,1,
2,Suffuse,suffuse:aw50,sniper,50bmg,AI AW50 1982,62.3,1,
2,Suffuse,suffuse:m203,rpg,40mm,M203 1969,78.0,1,390.0
2,Suffuse,suffuse:m79,rpg,40mm,M79 1961,82.7,1,414.0
2,Suffuse,suffuse:pf98a,rpg,120mm,Chinese PF98 1998,115.8,1,93.0
2,Suffuse,suffuse:pp19,smg,9mm,PP-19 Bizon 1993,9.3,1,
2,Suffuse,suffuse:python,pistol,357mag,Colt Python 1955,14.7,1,
2,Suffuse,suffuse:qbz951,rifle,58x42,QBZ-95 1997,13.1,1,
2,Suffuse,suffuse:qbz951s,rifle,58x42,QBZ-95 1997,13.2,1,
2,Suffuse,suffuse:saddam_golden_ak,rifle,762x39,"base weapon is AK47 1947, cosmetic gold finish",15.1,1,
2,Suffuse,suffuse:spas12,shotgun,12g,SPAS-12 1979,6.6,9,
2,Suffuse,suffuse:svd,sniper,762x54,Dragunov SVD 1963,40.3,1,
2,Suffuse,suffuse:tec9,pistol,9mm,Intratec TEC-9 1985,9.2,1,
2,Suffuse,suffuse:ump45,smg,45acp,HK UMP 1999,11.0,1,
2,Suffuse,suffuse:usp45,pistol,45acp,HK USP 1993,11.4,1,
2,Suffuse,suffuse:usp45_black,pistol,45acp,HK USP 1993,11.6,1,
2,TaCZ Expanded Arsenal,tacz:29,pistol,ea:44magnum,"S&W Model 29 - .44 Magnum revolver (Dirty Harry gun), 1955, big-bore magnum bracket",15.1,1,
2,TaCZ Expanded Arsenal,tacz:ak101,rifle,tacz:556x45,AK-101 - export AK in 5.56x45,14.5,1,
2,TaCZ Expanded Arsenal,tacz:ak103,rifle,tacz:762x39,AK-103 - modern AK in 7.62x39,15.2,1,
2,TaCZ Expanded Arsenal,tacz:ak74,rifle,tacz:545x39,"AK-74 - Soviet 5.45x39 rifle, 1974",11.2,1,
2,TaCZ Expanded Arsenal,tacz:ak74m,rifle,tacz:545x39,"AK-74M - modernized AK-74, 1991",11.7,1,
2,TaCZ Expanded Arsenal,tacz:akm,rifle,tacz:762x39,"AK-47/AKM - 1947/1959, this pack's baseline AK",15.4,1,
2,TaCZ Expanded Arsenal,tacz:ar18,rifle,tacz:556x45,Armalite AR-18 - 1963 5.56 rifle,13.4,1,
2,TaCZ Expanded Arsenal,tacz:asval,rifle,ea:9x39,"AS Val - Russian suppressed subsonic 9x39 specialist rifle, matches Honey Badger/PDW-specialist bracket",17.7,1,
2,TaCZ Expanded Arsenal,tacz:augs,rifle,tacz:556x45,Steyr AUG A2 SA - AUG-family semi-auto,16.8,1,
2,TaCZ Expanded Arsenal,tacz:benm4,shotgun,tacz:12g,"Benelli M4 Tactical - modern combat shotgun, 1998",6.8,8,
2,TaCZ Expanded Arsenal,tacz:bih,smg,tacz:308,basically FN FAL,11.7,1,
2,TaCZ Expanded Arsenal,tacz:bm59,rifle,tacz:308,"BM59 - Italian M1 Garand-derived battle rifle, 1959",18.0,1,
2,TaCZ Expanded Arsenal,tacz:cz75s,pistol,tacz:9mm,"CZ75 semi-auto variant, matches vanilla CZ75's tier",10.8,1,
2,TaCZ Expanded Arsenal,tacz:dragunov,sniper,tacz:762x54,"SVD Dragunov, matches the existing SVD entry's tier",48.9,1,
2,TaCZ Expanded Arsenal,tacz:elephant,rpg,tacz:700ne,".700 Nitro Express double rifle represented as rpg-type - extreme big-game power, treated as heavy ordnance",111.0,1,
2,TaCZ Expanded Arsenal,tacz:fal,rifle,tacz:308,"FN FAL, matches the vanilla FN FAL's tier",18.3,1,
2,TaCZ Expanded Arsenal,tacz:famas,rifle,tacz:556x45,"FAMAS F1 - French bullpup service rifle, 1978",11.8,1,
2,TaCZ Expanded Arsenal,tacz:g18,pistol,tacz:9mm,Glock 18C - select-fire machine pistol,10.0,1,
2,TaCZ Expanded Arsenal,tacz:g21,pistol,tacz:45acp,Glock 21 - modern .45 ACP service pistol,12.9,1,
2,TaCZ Expanded Arsenal,tacz:g36c,rifle,tacz:556x45,HK G36C,12.0,1,
2,TaCZ Expanded Arsenal,tacz:g3a3,rifle,tacz:308,HK G3A3,17.1,1,
2,TaCZ Expanded Arsenal,tacz:gak47,rifle,tacz:762x39,"Saddam's Golden AK - cosmetic gold AK47, matches the existing golden-AK entry's tier",15.5,1,
2,TaCZ Expanded Arsenal,tacz:grizzly,pistol,ea:44magnum,"LAR Grizzly Win Mag - .44 Magnum pistol, big-bore bracket",13.7,1,
2,TaCZ Expanded Arsenal,tacz:hk33,rifle,tacz:556x45,"HK33 - 5.56 rifle, 1968",12.6,1,
2,TaCZ Expanded Arsenal,tacz:hk5,smg,tacz:9mm,"HK5A2 (MP5 clone), matches the MP5-family tier",9.6,1,
2,TaCZ Expanded Arsenal,tacz:hk_sl8,sniper,tacz:556x45,"HK SL8, matches the existing SL8 entry's tier",39.1,1,
2,TaCZ Expanded Arsenal,tacz:l1a1,rifle,tacz:308,L1A1 SLR - Commonwealth FAL variant,17.9,1,
2,TaCZ Expanded Arsenal,tacz:l42a1,sniper,tacz:308,"L42A1 - Cold War Lee-Enfield sniper conversion, .308",57.4,1,
2,TaCZ Expanded Arsenal,tacz:l4a1,mg,tacz:308,Bren L4A1 - postwar .308 conversion of the Bren gun,14.7,1,
2,TaCZ Expanded Arsenal,tacz:l7a2,mg,tacz:308,L7A2 GPMG - FN MAG variant,13.6,1,
2,TaCZ Expanded Arsenal,tacz:l96a1,sniper,tacz:308,"L96A1 Arctic Warfare - .308 bolt sniper, 1985",58.6,1,
2,TaCZ Expanded Arsenal,tacz:m1187,shotgun,tacz:12g,Remington 11-87 - semi-auto shotgun,6.8,9,
2,TaCZ Expanded Arsenal,tacz:m14,rifle,tacz:308,"M14 - .308 Cold War battle rifle, 1959",18.2,1,
2,TaCZ Expanded Arsenal,tacz:m16a2,rifle,tacz:556x45,"M16A2, matches the vanilla M16A1/M16A4 bracket",13.5,1,
2,TaCZ Expanded Arsenal,tacz:m16a3,rifle,tacz:556x45,"M16A3, same bracket",15.7,1,
2,TaCZ Expanded Arsenal,tacz:m21,sniper,tacz:308,XM21 SWS - Vietnam-era .308 sniper variant of the M14,46.4,1,
2,TaCZ Expanded Arsenal,tacz:m240b,mg,tacz:308,M240B GPMG - modern .308 GPMG,13.9,1,
2,TaCZ Expanded Arsenal,tacz:m40a1,sniper,tacz:308,M40 - USMC .308 bolt sniper rifle,51.3,1,
2,TaCZ Expanded Arsenal,tacz:m4burst,rifle,tacz:556x45,"M4 (burst variant), matches the vanilla M4A1's tier",13.7,1,
2,TaCZ Expanded Arsenal,tacz:m500a,shotgun,tacz:12g,Mossberg 500A - pump shotgun,7.1,9,
2,TaCZ Expanded Arsenal,tacz:m51,pistol,tacz:9mm,Beretta M1951 - postwar 9mm service pistol,11.8,1,
2,TaCZ Expanded Arsenal,tacz:m60,mg,tacz:308,M60 GPMG - Vietnam-era .308 GPMG,12.5,1,
2,TaCZ Expanded Arsenal,tacz:m60e4,mg,tacz:308,M60E4 - modernized M60,12.9,1,
2,TaCZ Expanded Arsenal,tacz:m79,rpg,tacz:40mm,"M79 grenade launcher, matches the existing M79 entries' tier",87.4,1,437.0
2,TaCZ Expanded Arsenal,tacz:m82a1,sniper,tacz:50bmg,"Barrett M82A1 - .50 BMG anti-materiel rifle, matches the M107/M95 AM bracket",61.1,1,
2,TaCZ Expanded Arsenal,tacz:m870l,shotgun,tacz:12g,Long-barreled Remington 870,7.4,9,
2,TaCZ Expanded Arsenal,tacz:m88,shotgun,tacz:12g,Mossberg Maverick 88 tactical shotgun,7.6,9,
2,TaCZ Expanded Arsenal,tacz:m9,pistol,tacz:9mm,Beretta M9 - standard service pistol,12.0,1,
2,TaCZ Expanded Arsenal,tacz:mac10,pistol,tacz:45acp,"MAC M10 machine pistol, matches the makten_single (Mac-10 equivalent) tier",11.0,1,
2,TaCZ Expanded Arsenal,tacz:mac11,pistol,ea:380auto,"MAC M11 machine pistol, same bracket as MAC M10",9.6,1,
2,TaCZ Expanded Arsenal,tacz:mag10,shotgun,ea:10g,Ithaca Mag-10 - 10ga semi-auto shotgun,5.5,15,
2,TaCZ Expanded Arsenal,tacz:mg3,mg,tacz:308,"MG3 GPMG, matches the existing MG3 (migraine3) entry's tier",15.0,1,
2,TaCZ Expanded Arsenal,tacz:mg36,mg,tacz:556x45,HK MG36 - 5.56 squad automatic,10.0,1,
2,TaCZ Expanded Arsenal,tacz:mgl,rpg,tacz:40mm,Milkor MGL multi-shot grenade launcher - heavy ordnance bracket,92.1,1,460.0
2,TaCZ Expanded Arsenal,tacz:mini14,rifle,tacz:556x45,Ruger Mini-14 Tactical - modern 5.56 rifle,15.9,1,
2,TaCZ Expanded Arsenal,tacz:mk23,pistol,tacz:45acp,"HK Mk23, matches the vanilla Mk23's tier",12.7,1,
2,TaCZ Expanded Arsenal,tacz:mp5k,smg,tacz:9mm,"HK MP5K, matches the existing MP5K entry's tier",8.2,1,
2,TaCZ Expanded Arsenal,tacz:mustang,pistol,ea:380auto,Colt Mustang - .380 ACP pocket pistol,9.8,1,
2,TaCZ Expanded Arsenal,tacz:pkm,mg,tacz:762x54,"PKM GPMG, matches the PKP (Pecheneg) bracket",13.2,1,
2,TaCZ Expanded Arsenal,tacz:pm,pistol,ea:9x18,Makarov PM - Cold War Soviet service pistol,10.2,1,
2,TaCZ Expanded Arsenal,tacz:pp19,smg,ea:9x18,"PP-19 Bizon, matches the existing PP-19 Bizon entry's tier",10.7,1,
2,TaCZ Expanded Arsenal,tacz:ps90,smg,tacz:57x28,"PS90, matches the vanilla P90's tier",9.8,1,
2,TaCZ Expanded Arsenal,tacz:psg1,sniper,tacz:308,HK PSG-1 - modern .308 precision rifle,45.2,1,
2,TaCZ Expanded Arsenal,tacz:python,pistol,tacz:357mag,"Colt Python, matches the existing Python entry's tier",14.3,1,
2,TaCZ Expanded Arsenal,tacz:pythons,pistol,tacz:357mag,"Colt Python (short barrel), same bracket",14.5,1,
2,TaCZ Expanded Arsenal,tacz:rpk74,mg,tacz:545x39,"RPK-74, matches the vanilla RPK's tier",9.3,1,
2,TaCZ Expanded Arsenal,tacz:rpk74m,mg,tacz:545x39,"RPK-74M, same bracket",9.6,1,
2,TaCZ Expanded Arsenal,tacz:saiga,shotgun,tacz:12g,Saiga-12 - semi-auto combat shotgun,6.5,12,
2,TaCZ Expanded Arsenal,tacz:sawedoff,shotgun,tacz:12g,Sawed-off Model 870,7.9,9,
2,TaCZ Expanded Arsenal,tacz:skorpion,smg,ea:9x18,Vz.61 Skorpion - Cold War machine pistol/SMG,8.4,1,
2,TaCZ Expanded Arsenal,tacz:sr25,sniper,tacz:308,KAC SR25 - modern .308 precision semi-auto,47.6,1,
2,TaCZ Expanded Arsenal,tacz:sr3m,smg,ea:9x39,SR-3M - Russian suppressed subsonic specialist SMG,11.5,1,
2,TaCZ Expanded Arsenal,tacz:sw686,pistol,tacz:38special,S&W 686 - .38 Special service revolver,14.1,1,
2,TaCZ Expanded Arsenal,tacz:usp45,pistol,tacz:45acp,"HK USP45, matches the existing USP45 entry's tier",13.1,1,
2,TaCZ Expanded Arsenal,tacz:vsk,sniper,ea:9x39,VSK-94 - Russian suppressed subsonic specialist rifle,41.5,1,
2,TaCZ Expanded Arsenal,tacz:vss,sniper,ea:9x39,VSS Vintorez - Russian suppressed subsonic specialist rifle,42.8,1,
2,TaCZ Expanded Arsenal,tacz:xm177,rifle,tacz:556x45,Colt XM177 Commando - Vietnam-era CAR-15 variant,13.8,1,
2,TaCZ Expanded Arsenal,tacz:z70,rifle,tacz:762x39,Zastava M70 - Yugoslav AK-pattern rifle,17.4,1,
